Sample_num,Diameter1,Diameter2,Diameter3,Sample_average,Sample_range
1,50.08,49.78,50.02,49.96,0.3
2,50.02,50.13,49.74,49.963,0.39
3,49.84,49.97,49.93,49.913,0.13
4,50.02,50.05,49.94,50.003,0.11
5,50.19,49.86,50.03,50.027,0.33
6,50.04,49.96,49.9,49.967,0.14
7,49.87,50.13,49.81,49.937,0.32
8,50.02,50.26,49.9,50.06,0.36
9,50.01,50.04,50.01,50.02,0.03
10,49.79,50.36,50.21,50.12,0.57
11,50.17,50.12,50,50.097,0.17
12,50.01,49.85,49.93,49.93,0.16
13,49.84,50.2,49.94,49.993,0.36
14,49.74,50,50.03,49.923,0.29
15,49.92,50.07,49.89,49.96,0.18
16,49.99,50.01,50.09,50.03,0.1
17,49.9,50.05,49.95,49.967,0.15
18,50.2,50.03,49.92,50.05,0.28
19,50.02,49.97,50.27,50.087,0.3
20,49.77,50.07,50.07,49.97,0.3
