pushups,run
60,847
53,887
60,879
55,919
60,816
78,814
74,814
70,855
46,980
50,954
50,1078
59,1001
62,766
64,916
51,798
66,782
73,836
78,837
80,791
70,838
70,853
79,840
93,740
80,763
78,778
70,855
60,875
78,868
50,880
70,905
69,895
125,720
80,712
99,703
80,741
61,792
50,808
55,761
60,785
60,801
65,810
66,1013
58,882
62,861
60,845
90,865
78,883
86,881
86,921
69,816
74,837
40,1056
40,1034
78,774
70,821
78,850
70,870
55,931
55,930
80,808
78,828
78,719
68,707
45,934
45,939
47,977
88,896
70,921
80,815
79,838
71,854
50,1063
50,1024
73,780
78,813
78,850
63,902
60,906
78,865
78,886
78,881
50,825
61,821
62,832
