Run,Pushups,Situps,Run,Pushups,Situps,Run,Pushups,Situps,,Run,Pushups,Situps 
847,60,83,880,50,50,870,70,61,,Min.   : 703.0,Min.   : 40.00,Min.   : 45.00
887,53,67,905,70,67,931,55,60,,1st Qu.: 809.5,1st Qu.: 59.75,1st Qu.: 59.75
879,60,70,895,69,64,930,55,73,,Median : 850.0,Median : 69.50,Median : 68.50
919,55,60,720,125,95,808,80,66,,Mean   : 857.7,Mean   : 67.79,Mean   : 68.29
816,60,71,712,80,80,828,78,62,,3rd Qu.: 897.5,3rd Qu.: 78.00,3rd Qu.: 80.00
814,78,83,703,99,92,719,78,78,,Max.   :1078.0,Max.   :125.00,Max.   :100.00
814,74,70,741,80,80,707,68,70,,,,
855,70,69,792,61,68,934,45,45,,,,
980,46,48,808,50,50,939,45,45,,,,
954,50,55,761,55,52,977,47,51,,,,
1078,50,48,785,60,49,896,88,65,,,,
1001,59,61,801,60,59,921,70,71,,,,
766,62,71,810,65,54,815,80,84,,,,
916,64,65,1013,66,82,838,79,81,,,,
798,51,62,882,58,57,854,71,82,,,,
782,66,64,861,62,67,1063,50,55,,,,
836,73,69,845,60,61,1024,50,50,,,,
837,78,80,865,90,82,780,73,78,,,,
791,80,90,883,78,72,813,78,71,,,,
838,70,78,881,86,80,850,78,80,,,,
853,70,85,921,86,77,902,63,60,,,,
840,79,86,816,69,56,906,60,60,,,,
740,93,91,837,74,68,865,78,84,,,,
763,80,100,1056,40,45,886,78,82,,,,
778,78,78,1034,40,50,881,78,82,,,,
855,70,48,774,78,76,825,50,59,,,,
875,60,60,821,70,70,821,61,56,,,,
868,78,73,850,78,70,832,62,67,,,,
