cat_num,LUPI,OPD,min_mean,max_mean,min_var,max_var,min_99ci,max_99ci
1996,2,2,3.59,4.67,6.8,18.02,9.94,14.17
1996,2,4,2.88,3.27,4.28,8.6,7.74,9.97
1996,2,6,2.61,2.98,3.45,5.96,6.95,8.6
1996,2,8,2.75,3.26,3.96,6.84,7.36,9.3
1996,4,2,9.4,12.89,49.48,122.8,26.11,37.87
1996,4,4,9.45,11.22,43.61,73.54,25.1,30.77
1996,4,6,9.04,10.38,36.56,62.17,23.32,28.4
1996,4,8,8.89,9.83,39.57,50.33,23.8,26.02
1996,6,2,22.49,25.36,243.1,342.69,58.99,68.05
1996,6,4,19.44,21.38,178.25,203.37,50.67,54.37
1996,6,6,18.16,19.63,145.37,177.94,46.4,50.43
1996,6,8,17.76,19.5,138.18,168.7,45.17,49.61
1996,8,2,33.68,43.85,466.65,918.71,84.95,112.91
1996,8,4,33.79,38.83,502.01,637.48,86.04,97.31
1996,8,6,33.27,36.84,484.39,606.5,84.49,93.99
1996,8,8,32.7,35.04,452.6,556.18,82.31,89.7
10292,4,2,2.1,2.74,2.26,5.51,5.43,8.18
10293,2,2,1.62,2.13,1.01,3.38,3.95,6.29
10293,2,4,1.28,1.46,0.66,1.02,3.17,3.79
10293,2,6,1.2,1.47,0.68,1.33,3.1,4.14
10293,2,8,1.16,1.36,0.71,1.47,3.09,4.15
10293,4,4,2.01,2.73,1.8,4.73,5.25,7.62
10293,4,6,2.03,2.32,2.16,2.85,5.48,6.2
10293,4,8,1.85,2.16,1.62,2.92,4.85,6.08
10293,6,2,2.8,3.95,3.7,10.1,7.31,11.11
10293,6,4,2.35,2.96,2.18,4.52,5.92,7.73
10293,6,6,2.04,2.66,1.32,3.61,4.8,6.91
10293,6,8,1.86,2.42,1.01,2.15,4.17,5.79
10293,8,2,2.58,3.82,1.76,7.78,5.92,9.94
10293,8,4,2.08,2.81,1.24,3.57,4.79,7.04
10293,8,6,1.9,2.56,0.94,2.58,4.19,6.19
