Date,Planet_k,Z3,Z6,Z9,Z12,Z15,Z18,Z21,Z24
2023/10/1,9.00,4.00,2.00,2.00,2.00,2.00,1.00,1.33,1.67
2023/10/10,4.00,1.00,2.00,1.67,1.67,0.33,0.67,0.67,0.33
2023/10/11,4.00,0.67,0.67,1.33,1.33,1.00,1.00,0.67,1.00
2023/10/12,4.00,1.33,1.00,1.33,1.00,0.67,1.00,0.67,1.00
2023/10/13,13.00,1.00,2.67,3.33,2.67,3.00,3.67,2.67,2.33
2023/10/14,8.00,2.00,1.67,2.00,3.00,1.67,1.00,2.67,1.00
2023/10/15,4.00,0.67,0.33,1.00,0.67,0.67,0.67,1.00,2.00
2023/10/16,4.00,2.00,0.33,0.67,1.00,1.33,0.67,0.33,0.33
2023/10/17,3.00,0.67,0.33,0.67,1.00,1.00,0.33,0.00,0.67
2023/10/18,9.00,0.33,2.00,1.33,2.33,3.00,3.00,2.33,2.33
2023/10/19,10.00,2.67,3.67,2.33,2.67,1.67,1.67,1.67,1.00
2023/10/2,9.00,3.00,3.33,1.00,2.33,1.67,1.67,1.67,2.33
2023/10/20,8.00,1.33,2.33,2.33,2.33,2.00,1.00,2.33,2.67
2023/10/21,22.00,4.00,4.67,5.00,3.33,2.67,3.33,1.67,1.00
2023/10/22,8.00,2.33,1.67,2.33,2.33,1.33,1.67,3.00,1.67
2023/10/23,3.00,1.00,0.33,0.33,0.33,1.00,0.67,0.67,0.67
2023/10/24,4.00,0.33,0.33,0.67,1.33,0.67,1.00,1.33,1.33
2023/10/25,4.00,0.67,1.00,0.33,0.67,1.00,0.67,1.33,1.67
2023/10/26,23.00,2.67,2.67,2.00,4.67,4.00,3.33,4.33,4.67
2023/10/27,11.00,3.33,4.00,2.67,2.33,1.67,1.67,1.33,1.00
2023/10/28,19.00,1.00,3.00,3.33,4.00,4.33,3.33,3.00,3.67
2023/10/29,28.00,4.67,3.67,4.67,3.67,4.00,4.00,3.33,4.00
2023/10/3,8.00,1.33,2.67,1.67,1.33,2.33,2.33,2.33,1.67
2023/10/30,12.00,4.00,2.00,1.33,3.33,3.33,1.67,2.33,2.33
2023/10/31,9.00,2.67,2.33,2.00,2.67,2.67,1.33,1.67,2.00
2023/10/4,10.00,2.67,2.33,2.67,2.67,2.00,1.67,2.00,3.33
2023/10/5,16.00,4.33,5.00,2.33,3.00,2.00,1.00,1.33,2.33
2023/10/6,9.00,2.33,2.67,2.33,1.67,1.33,1.67,1.00,3.33
2023/10/7,5.00,1.33,2.00,1.33,0.67,0.33,0.33,1.67,1.67
2023/10/8,7.00,2.00,2.00,2.33,1.67,0.67,1.00,1.67,2.67
2023/10/9,8.00,2.33,1.33,2.00,1.67,2.00,2.00,3.33,1.67
2023/11/1,9.00,2.33,2.67,2.33,2.67,2.33,2.00,1.33,1.67
2023/11/10,10.00,2.33,3.67,2.67,2.00,2.33,1.67,1.00,2.00
2023/11/11,5.00,2.00,1.33,1.67,1.00,1.00,1.00,1.00,0.67
2023/11/12,10.00,0.67,1.33,4.00,2.67,2.33,1.67,1.33,3.00
2023/11/13,16.00,5.00,3.67,1.67,1.67,3.00,3.00,2.00,1.33
2023/11/14,6.00,2.33,1.00,0.33,1.00,1.33,3.00,2.33,0.67
2023/11/15,12.00,2.33,1.67,2.33,2.00,3.33,3.33,3.33,2.67
2023/11/16,8.00,1.67,1.00,2.67,2.00,2.33,2.33,1.33,2.33
2023/11/17,3.00,0.67,0.33,0.33,0.67,0.67,1.67,1.33,0.33
2023/11/18,3.00,0.33,1.00,0.67,1.00,0.67,0.33,1.00,1.33
2023/11/19,4.00,0.67,0.33,1.67,1.67,0.67,0.67,1.33,1.00
2023/11/2,7.00,2.67,2.67,2.00,1.67,1.33,1.33,1.33,1.33
2023/11/20,5.00,1.00,1.00,2.00,2.00,1.67,1.33,1.33,1.00
2023/11/21,18.00,1.33,2.33,4.33,3.33,3.67,3.67,3.00,3.67
2023/11/22,30.00,4.00,5.00,5.00,4.33,3.33,4.00,4.00,2.67
2023/11/23,7.00,2.67,2.33,2.67,1.33,1.67,0.67,0.67,0.67
2023/11/24,7.00,1.67,1.67,1.33,1.33,2.00,1.67,2.33,2.67
2023/11/25,38.00,3.00,3.00,4.67,4.67,5.00,4.67,6.00,4.00
2023/11/26,10.00,4.00,2.33,3.33,2.00,2.00,0.67,1.33,1.67
2023/11/27,7.00,1.33,1.67,2.33,1.33,2.00,2.33,1.33,2.00
2023/11/28,7.00,2.00,2.00,2.00,2.00,1.67,2.00,2.00,1.67
