temp,diameter
80_degrees,9.00
80_degrees,9.50
80_degrees,9.75
80_degrees,10.50
80_degrees,10.50
80_degrees,11.50
80_degrees,12.00
80_degrees,12.25
80_degrees,12.75
80_degrees,13.25
80_degrees,14.25
80_degrees,14.75
80_degrees,15.25
80_degrees,17.00
80_degrees,18.25
80_degrees,18.25
80_degrees,18.50
80_degrees,18.75
80_degrees,19.25
80_degrees,19.75
80_degrees,20.25
80_degrees,20.75
80_degrees,22.00
80_degrees,22.75
80_degrees,22.75
80_degrees,23.00
80_degrees,23.00
80_degrees,23.25
80_degrees,26.00
80_degrees,26.00
80_degrees,29.00
80_degrees,31.75
80_degrees,32.50
80_degrees,33.00
80_degrees,36.50
80_degrees,38.00
170_degrees,4.00
170_degrees,4.17
170_degrees,4.75
170_degrees,4.83
170_degrees,5.17
170_degrees,5.33
170_degrees,5.50
170_degrees,5.67
170_degrees,5.67
170_degrees,5.67
170_degrees,6.17
170_degrees,6.17
170_degrees,6.67
170_degrees,6.67
170_degrees,7.33
170_degrees,7.60
170_degrees,7.67
170_degrees,7.67
170_degrees,7.75
170_degrees,8.17
170_degrees,8.50
170_degrees,8.50
170_degrees,8.67
170_degrees,8.67
170_degrees,8.67
170_degrees,9.17
170_degrees,9.17
170_degrees,9.33
170_degrees,9.44
170_degrees,9.67
170_degrees,10.00
170_degrees,10.00
170_degrees,10.25
170_degrees,10.67
170_degrees,10.83
170_degrees,12.16
