Stress,Modulus,LN.Stress,LN.Modulus
4,9500,1.386294361,9.159047078
6,9250,1.791759469,9.132378831
11,11500,2.397895273,9.350102314
16,12500,2.772588722,9.433483923
20,13900,2.995732274,9.539644119
24,13600,3.17805383,9.517825072
29,14000,3.36729583,9.546812609
34,15200,3.526360525,9.629050707
38,15500,3.63758616,9.648595303
41,16300,3.713572067,9.698920387
46,17000,3.828641396,9.740968623
51,16800,3.931825633,9.729134165
53,18200,3.970291914,9.809176873
59,17000,4.077537444,9.740968623
68,18800,4.219507705,9.841612149
75,19000,4.317488114,9.852194258
